TIC,CTOI,Transit Epoch,Period (exofop),Period (TEV),Planet Radius,Duration,Depth,TFOPWG Disposition,TEV Disposition,Notes,CTOI Category
235009317.0,235009317.01,,7.458,7.456863,,,,,FP(EB),Primary/secondary,
235009317.0,235009317.02,,7.453,7.456863,,,,,FP(EB),Primary/secondary,
236761861.0,236761861.01,,0.893,0.89296,,,,,FP(EB),25 Re,
237236168.0,237236168.01,,2.316,2.31351,,,,,FP(EB),Significant depth-aperture correlation,
237332597.0,237332597.01,,2.93,2.927444,,,,,FP(EB),Primary/secondary,
237332597.0,237332597.02,,2.93,2.927444,,,,,FP(EB),Primary/secondary,
238082493.0,238082493.01,,0.877,0.8774,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
238235254.0,238235254.01,,5.571,5.5699,,,,,FP(EB),"new CTOI likely member of Velorum association, PATHOS-39 in Nardiello (2020)",
238616144.0,238616144.01,,2.466,2.46544,,,,,FP(EB),,
251087387.0,251087387.01,,3.025,3.0248,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
253922296.0,253922296.01,,3.141,3.13859,,,,,FP(EB),,
253928535.0,253928535.01,,1.122,1.124764,,,,,FP(EB),Odd-even,
256865091.0,256865091.01,,5.199,5.1993,,,,,FP(EB),Deep secondary away from phase 0.5,
257648522.0,257648522.01,,2.695,2.6947,,,,,FP(EB),KELT FP; new CTOI,
258918835.0,258918835.01,,5.986,5.9855,,,,,FP(EB),Centroid offset on another star,
260502102.0,260502102.01,,7.315,7.315218,,,,,FP(EB),Primary/secondary,
260502102.0,260502102.02,,7.31,7.315218,,,,,FP(EB),Primary/secondary,
261107974.0,261107974.01,,12.768,12.760552,,,,,FP(EB),Centroid offset centered on another star,
261335113.0,261335113.01,,8.119,8.130552,,,,,FP(EB),Primary/secondary,
261335113.0,261335113.02,,8.131,8.130552,,,,,FP(EB),Primary/secondary,
264051559.0,264051559.01,,5.464,5.4638,,,,,FP(EB),new CTOI,
265279725.0,265279725.01,,2.554,2.5536,,,,,FP(EB),sector 34 only- good fit to model transits,
265489698.0,265489698.01,,1.156,1.155455,,,,,FP(EB),Primary/secondary,
265489698.0,265489698.02,,1.153,1.155455,,,,,FP(EB),Primary/secondary,
265613590.0,265613590.01,,4.82,4.818091,,,,,FP(EB),Primary/secondary,
265613590.0,265613590.02,,4.815,4.818091,,,,,FP(EB),Primary/secondary,
266996791.0,266996791.01,,2.126,2.126088,,,,,FP(EB),Primary/secondary,
266996791.0,266996791.02,,2.123,2.126088,,,,,FP(EB),Primary/secondary,
269698422.0,269698422.01,,2.39,2.3913,,,,,FP(EB),new CTOI,
269829384.0,269829384.01,,1.231,1.243205,,,,,FP(EB),Primary/secondary,
269829384.0,269829384.02,,1.248,1.243205,,,,,FP(EB),Primary/secondary,
270677759.0,270677759.01,,9.121,9.12911,,,,,FP(EB),Centroid offset centered on another star,
272357134.0,272357134.01,,4.188,4.197416,,,,,FP(EB),,
272357134.0,272357134.02,,4.196,4.197416,,,,,FP(EB),,
275570329.0,275570329.01,,2.142,2.1448,,,,,FP(EB),EB Kepler-854 b,
277649549.0,277649549.01,,14.488,14.490452,,,,,FP(EB),Primary/secondary,
277649549.0,277649549.02,,14.49,14.490452,,,,,FP(EB),Primary/secondary,
279314488.0,279314488.01,,1.83,1.832658,,,,,FP(EB),Primary/secondary,
279314488.0,279314488.02,,1.83,1.832658,,,,,FP(EB),Primary/secondary,
284206913.0,284206913.01,,10.511,10.51135,,,,,FP(EB),Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,
284990199.0,284990199.01,,4.093,4.0935,,,,,FP(EB),new CTOI,
290044434.0,290044434.01,,1.089,1.0891,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
293480903.0,293480903.01,,7.578,7.569497,,,,,FP(EB),Primary/secondary,
293480903.0,293480903.02,,7.57,7.569497,,,,,FP(EB),Primary/secondary,
293689267.0,293689267.01,,14.834,14.812223,,,,,FP(EB),,
300560295.0,300560295.01,,10.289,10.294329,,,,,FP(EB),Too large + secondary,
300903537.0,300903537.01,,5.824,5.8233; 5.8236; 11.6262,,,,,FP(EB),9000 ppm secondary,
300903537.0,300903537.02,,5.798,5.823336,,,,,FP(EB),Primary/secondary,
303909865.0,303909865.01,,2.131,2.125059,,,,,FP(EB),Primary/secondary,
303909865.0,303909865.02,,2.125,2.125059,,,,,FP(EB),Primary/secondary,
306385801.0,306385801.01,,7.018,7.01878,,,,,FP(EB),Large; killed in GV; recon spectra show it's SB2,
306828113.0,306828113.01,,0.425,0.42529,,,,,FP(EB),newCTOI; significant odd even; very v-shaped; short period; EB,
308425348.0,308425348.01,,3.399,3.3983,,,,,FP(EB),Significant depth-aperture correlation in QLP report; no match on simbad;alerted by mistake,
308851582.0,308851582.01,,4.919,4.912427,,,,,FP(EB),Primary/secondary,
308851582.0,308851582.02,,4.912,4.912427,,,,,FP(EB),Primary/secondary,
308991822.0,308991822.01,,8.226,8.224998,,,,,FP(EB),EB; primary/secondary,
309146836.0,309146836.01,,5.426,5.427521,,,,,FP(EB),Primary/secondary,
309146836.0,309146836.02,,5.43,5.427521,,,,,FP(EB),Primary/secondary,
318357083.0,318357083.01,,3.24,3.245,,,,,FP(EB),"RUWE binarity score = 0.95.  Found several transits, and it looks like a 'U'.",
325205605.0,325205605.01,,4.245,4.248996,,,,,FP(EB),Primary/secondary,
325205605.0,325205605.02,,4.25,4.248996,,,,,FP(EB),Primary/secondary,
326356701.0,326356701.01,,1.111,1.112218,,,,,FP(EB),Primary/secondary,
326356701.0,326356701.02,,1.11,1.112218,,,,,FP(EB),Primary/secondary,
341983711.0,341983711.01,,2.516,2.5152,,,,,FP(EB),Centroid offset centered on another star,
344087362.0,344087362.01,,14.496,7.2383,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
349154435.0,349154435.01,,4.431,4.431976,,,,,FP(EB),Primary/secondary,
349154435.0,349154435.02,,4.431,4.431976,,,,,FP(EB),Primary/secondary,
349518145.0,349518145.01,,4.14,4.139636,,,,,FP(EB),,
350479101.0,350479101.02,,11.923,11.916872,,,,,FP(EB),EB; too large,
350480660.0,350480660.01,,4.463,4.4638,,,,,FP(EB),Preliminary Vetting with DAVE,
352915304.0,352915304.01,,3.4929,3.4904,,,,,FP(EB),Centroid offset centered on another star,
355601117.0,355601117.01,,4.157,4.152178,,,,,FP(EB),,
355601117.0,355601117.02,,4.15,4.152178,,,,,FP(EB),,
358457398.0,358457398.01,,2.268,2.276353,,,,,FP(EB),Primary/secondary,
358457398.0,358457398.02,,2.266,2.276353,,,,,FP(EB),Primary/secondary,
360205899.0,360205899.01,,0.429,0.428576,,,,,FP(EB),EB; primary/secondary,
372913337.0,372913337.01,,1.786,1.786,,,,,FP(EB),"new CTOI likely member of NGC 2516     , PATHOS-23 in Nardiello et al. (2020)",
374732772.0,374732772.01,,18.794,18.843,,,,,FP(EB),"new CTOI likely member of Lupus association  , PATHOS-42 in Nardiello (2020)",
381854774.0,381854774.01,,1.642,1.644572,,,,,FP(EB),Odd-even; v-shaped; large,
381856446.0,381856446.01,,1.769,1.769,,,,,FP(EB),Preliminary Vetting with DAVE,
382260153.0,382260153.01,,5.7,5.7008,,,,,FP(EB),new CTOI; centroid offset,
382517745.0,382517745.01,,10.436,10.441504,,,,,FP(EB),,
382517745.0,382517745.02,,10.438,10.441504,,,,,FP(EB),,
388128308.0,388128308.01,,1.194,1.194174,,,,,FP(EB),,
394585218.0,394585218.01,,3.967,3.964158,,,,,FP(EB),Primary/secondary,
394585218.0,394585218.02,,3.96,3.964158,,,,,FP(EB),Primary/secondary,
406276109.0,406276109.01,,7.548,7.547228,,,,,FP(EB),Eccentric EB,
406681360.0,406681360.01,,4.904,4.9018,,,,,FP(EB),31 Re,
407584737.0,407584737.01,,5.656,5.650127,,,,,FP(EB),Primary/secondary,
407584737.0,407584737.02,,5.653,5.650127,,,,,FP(EB),Primary/secondary,
419744996.0,419744996.01,,7.002,7.00499,,,,,FP(EB),Primary/secondary,
419744996.0,419744996.02,,7.02,7.00499,,,,,FP(EB),Primary/secondary,
438524691.0,438524691.01,,8.88,8.86703771,,,,,FP(EB),newCTOI,
439366537.0,439366537.01,,4.314,4.314034,,,,,FP(EB),"new CTOI, Montalto et al. (2020)",
441422220.0,441422220.01,,3.7,3.699999,,,,,FP(EB),Primary/secondary,
441422220.0,441422220.02,,3.7,3.699999,,,,,FP(EB),Primary/secondary,
140298355.0,140298355.01,,,,,,,,FP(IS),Found with our in-house single transit finder; looks like systematic,
147855066.0,147855066.01,,,,,,,,FP(IS),Found with our in-house single transit finder; likely systematic; data at location flagged out due to poor quality,
313006381.0,313006381.01,,,320.71,,,,,FP(IS),PHT candidate. Single transit event.,
336075472.0,336075472.01,,,49.137,,,,,FP(IS),PHT candidate. Single transit event.,
349096525.0,349096525.01,,,,,,,,FP(IS),Found with our in-house single transit finder; can't see transit and duration (0.6 hr) too short for single,
407663579.0,407663579.01,,,,,,,,FP(IS),Found with our in-house single transit finder; looks like systematic,
31273263.0,31273263.01,,,12.0333,,,,,FP(IS),Rp = 142 Re,
49678165.0,49678165.01,,35.64,12.364,,,,,FP(IS),Single transit; centroid offset but not centered on anything; investigate further; background light at epoch 1371 consistent with asteroid,
100103200.0,100103200.01,,18.446,26.5883; 15.9484,,,,,FP(IS),IS,
212323118.0,212323118.01,,169,14.0738; 13.4617,,,,,FP(IS),Spurious signal,
220408612.0,220408612.01,,20.428,91.1899,,,,,FP(IS),Signal seems spurious,
220408612.0,220408612.02,,59.992,91.1899,,,,,FP(IS),Signal seems spurious,
229556468.0,229556468.01,,,13.2668,,,,,FP(IS),single transit (nominal period: 120 days),
229556468.0,229556468.02,,,13.2668,,,,,FP(IS),single transit (nominal period: 50 days),
238027971.0,238027971.01,,14.408,14.4745,,,,,FP(IS),Scattered light,
244247384.0,244247384.01,,,12.1559,,,,,FP(IS),Found with our in-house single transit finder; Sector 32; One transit looks potentially real; other looks like IS,
260504147.0,260504147.01,,4.276,4.2092; 10.8208,,,,,FP(IS),Rp = 107 Re,
307958020.0,307958020.02,,0,122.2058,,,,,FP(IS),"another single transit, low impact parameter",
308991822.0,308991822.02,,8.299,8.225; 9.6769; 8.2244,,,,,FP(IS),Rp = 72 Re,
143114211.0,143114211.01,,13.29,13.279,,,,,FP(IS),Scattered light (SPOC),
219792161.0,219792161.01,,1.441851,1.441842,,,,,FP(IS),Signal from CBV,
327667965.0,327667965.01,,0.443,9.631,,,,,FP(V),SPOC S27 just shows sinusoidal signal,
11435037.0,11435037.01,,0.53,1.2285,,,,,FP(V),"Camera 2, CCD 1, Column 1957, Row 1636, Sector 18; Y1 SPOC multisector report looks like variability",
139468902.0,139468902.01,,0.465,0.9104,,,,,FP(V),Stellar variability,
139468902.0,139468902.02,,0.457,0.9104,,,,,FP(V),Stellar variability,
158241252.0,158241252.01,,1.851,1.8496,,,,,FP(V),Preliminary Vetting with DAVE,
372851967.0,372851967.01,,0.275,,,,,,FP(V),"new CTOI, Montalto et al. (2020)",
206544316.0,206544316.01,,0.324,0.32195,,,,,FP(V),Variability,
206544316.0,206544316.02,,0.325,0.32195,,,,,FP(V),Variability,
206544316.0,206544316.03,,0.321,0.32195,,,,,FP(V),Variability,
206544316.0,206544316.04,,0.326,0.32195,,,,,FP(V),Variability,
341840536.0,341840536.01,,2.196,2.1942,,,,,FP(V),Variability,
